Pos,No.,Name,Team,Class,Time,Behind,Hardtail,S1: Fox Racing,S1: Fox Racing Position,S2: Camelbak,S2: Camelbak Position,S3: Maxxis,S3: Maxxis Position,S4: Hope,S4: Hope Position,S5: Peatys,S5: Peatys Position,S6: Exposure,S6: Exposure Position,S7: Julbo,S7: Julbo Position
628th,89,Simon Booth,TNR,Enduro | Veteran Male,00:26:40.7,+7:14.96, ,00:05:28.5,652nd,00:04:12.3,655th,00:03:55.9,681st,00:04:03.0,700th,00:02:57.1,829th,00:03:08.4,802nd,00:02:55.5,611th
629th,516,Michael Burke,Half arsed bikers,Enduro | Senior Male,00:26:42.9,+7:17.12, ,00:05:28.3,650th,00:04:17.1,701st,00:03:55.2,670th,00:03:59.8,671st=,00:02:49.9,724th,00:03:05.3,740th,00:03:07.3,746th
630th,179,Sam Wilton,The Wheelbarrows,Enduro | Master Male,00:26:43.8,+7:18.04, ,00:05:44.9,768th,00:04:14.9,685th,00:03:56.2,683rd,00:04:03.7,706th,00:02:45.0,620th=,00:03:02.8,685th,00:02:56.4,626th
631st,265,Sean Robinson,Bad Brains MBC,Enduro | Senior Male,00:26:44.3,+7:18.58, ,00:05:32.0,677th,00:04:20.4,732nd,00:03:53.7,663rd,00:04:01.1,683rd,00:02:58.8,842nd,00:03:03.7,704th,00:02:54.6,595th
632nd,292,Robert Platten, ,Enduro | Veteran Male,00:26:45.2,+7:19.44, ,00:05:26.5,632nd,00:04:07.3,611th,00:03:49.7,620th,00:04:12.3,787th,00:02:52.4,757th,00:03:05.5,744th,00:03:11.5,781st
633rd,905,Andrew Titcombe,Swindon MTB Enthusiasts,Enduro | Grand Vet Male,00:26:45.5,+7:19.70, ,00:05:54.0,826th,00:04:08.8,624th,00:03:53.0,656th=,00:04:02.2,694th=,00:02:44.3,595th=,00:03:02.7,683rd=,00:03:00.4,679th
634th,843,Brian Martin,SAMM,Enduro | Veteran Male,00:26:46.5,+7:20.70, ,00:05:17.4,526th,00:03:52.6,443rd,00:05:03.8,921st,00:03:55.0,614th,00:02:43.3,570th,00:02:59.0,622nd,00:02:55.5,612th
635th,1092,Joe Brierley,pmbr,Enduro | Master Male,00:26:47.0,+7:21.25, ,00:05:50.2,805th,00:04:39.5,841st=,00:03:48.7,605th=,00:03:51.7,582nd=,00:02:41.1,505th,00:02:59.8,635th,00:02:56.0,622nd
636th,790,David Smith,POWER,Enduro | Master Male,00:26:49.5,+7:23.69, ,00:05:38.0,713th=,00:04:37.2,828th,00:03:42.7,532nd,00:04:03.0,701st,00:02:48.3,677th,00:03:03.3,697th,00:02:56.9,632nd
637th,34,Kristian Hartley,Maxxis MTB,Enduro | Veteran Male,00:26:52.0,+7:26.28, ,00:05:55.9,839th,00:04:18.5,717th,00:03:49.2,611th,00:04:06.9,739th,00:02:46.1,635th,00:03:01.5,668th,00:02:53.9,584th
638th,735,Phil Graham,No Hope,Enduro | Veteran Male,00:26:53.7,+7:27.88, ,00:05:30.6,667th,00:04:18.0,712th,00:03:49.6,617th,00:04:05.9,730th,00:02:51.3,741st,00:03:10.6,823rd=,00:03:07.6,748th
639th,481,Rich Avery,Gears & Beers,Enduro | Veteran Male,00:26:56.3,+7:30.49, ,00:05:30.6,666th,00:04:19.1,722nd,00:03:56.4,689th,00:04:19.2,826th,00:02:51.1,737th,00:02:58.4,608th,00:03:01.5,695th
640th,455,Mark Murray,Fire Road 5,Enduro | Veteran Male,00:26:56.8,+7:31.02, ,00:05:42.2,751st,00:04:09.2,627th,00:03:57.7,696th,00:04:01.5,686th=,00:02:56.8,824th,00:03:08.4,803rd,00:03:01.0,688th
641st,163,Sean Deere,Yorkshire Cycle Hub,Enduro | Senior Male,00:26:57.5,+7:31.73, ,00:05:40.2,737th,00:04:15.0,686th,00:04:04.3,749th,00:04:01.1,684th,00:02:54.2,790th,00:03:05.4,742nd,00:02:57.2,640th
642nd,576,Danny Walker,Lavatrax,Enduro | Master Male,00:26:58.5,+7:32.70, ,00:05:43.1,756th,00:04:40.4,849th,00:03:55.3,672nd,00:03:57.9,650th,00:02:45.9,634th,00:02:54.3,495th,00:03:01.5,694th
643rd,275,Jonathan Turnbull,Bad brains MBC,Enduro | Master Male,00:27:00.2,+7:34.40, ,00:05:05.5,374th=,00:03:37.3,243rd=,00:03:34.6,400th,00:03:31.5,255th,00:02:42.4,539th,00:02:51.1,397th=,00:05:37.7,951st
644th,1175,Lucy Bell,Wheelbase NE,Enduro | Master Female,00:27:00.4,+7:34.68, ,00:05:47.2,780th,00:04:23.5,750th,00:04:00.1,719th,00:04:00.3,676th,00:02:47.3,655th,00:03:02.7,683rd=,00:02:59.3,669th
645th,178,Paul Bowes,The Wheelbarrows,Enduro | Master Male,00:27:00.6,+7:34.83, ,00:05:55.0,831st,00:04:14.0,673rd,00:03:56.1,682nd,00:04:00.6,677th,00:02:49.1,695th,00:02:58.7,615th=,00:03:07.0,742nd
646th,338,David Holmes,WWW,Enduro | Veteran Male,00:27:01.0,+7:35.23, ,00:05:40.3,739th,00:04:30.7,797th,00:03:49.9,625th,00:04:03.1,702nd,00:02:50.6,730th,00:03:05.0,732nd,00:03:01.4,691st=
647th,305,Kevin Dingsdale,Bigfoot MBC,Enduro | Grand Vet Male,00:27:01.2,+7:35.46, ,00:05:49.1,794th,00:04:07.6,617th,00:04:01.2,729th,00:04:01.8,689th,00:02:51.1,736th,00:03:04.0,707th,00:03:06.5,736th
648th,248,Mark Willey,ATGNI,Enduro | Veteran Male,00:27:01.4,+7:35.65, ,00:05:43.2,758th,00:04:26.6,772nd,00:03:57.9,699th,00:03:58.4,655th,00:02:56.6,823rd,00:03:01.0,660th,00:02:57.7,647th
649th,288,Richard Ferguson, ,Enduro | Senior Male,00:27:01.6,+7:35.87, ,00:05:35.7,701st,00:04:14.3,676th,00:04:12.6,798th=,00:03:53.3,601st,00:03:00.3,858th,00:03:07.0,777th,00:02:58.5,658th
650th,813,Steve Willams,Radbikes,Enduro | Grand Vet Male,00:27:02.4,+7:36.63, ,00:05:48.3,788th,00:04:18.2,716th,00:03:47.1,585th,00:04:08.0,750th,00:02:51.0,734th=,00:03:10.7,825th,00:02:59.0,666th
651st,862,Cath Hempsall,Shitans,Enduro | Master Female,00:27:02.4,+7:36.66, ,00:05:53.8,824th,00:04:14.7,681st,00:03:58.8,705th,00:03:58.6,657th,00:02:45.8,632nd,00:03:05.8,750th,00:03:05.0,727th=
652nd,909,Rick Banks,SWS WE RIDE,Enduro | Senior Male,00:27:02.6,+7:36.88, ,00:05:38.0,715th,00:04:13.1,664th,00:04:03.2,744th,00:04:03.9,711th,00:02:54.1,786th,00:03:11.0,829th,00:02:59.4,670th
653rd,605,Samantha Pickard,Maxxis MTB,Enduro | Senior Female,00:27:05.8,+7:40.04, ,00:05:51.3,810th=,00:04:17.1,702nd,00:03:57.7,697th,00:03:59.7,670th,00:02:52.8,766th,00:03:06.0,754th,00:03:01.1,689th
654th,223,Sam Clarke,Ardshlong,Enduro | Master Male,00:27:07.5,+7:41.70, ,00:05:28.6,653rd,00:04:11.2,646th,00:04:22.7,845th,00:04:02.1,693rd,00:02:52.7,764th,00:03:09.2,809th,00:03:01.0,687th
655th,515,Chris Hall,Half arsed bikers,Enduro | Senior Male,00:27:08.7,+7:42.90, ,00:05:26.4,631st,00:04:23.3,747th,00:04:02.4,735th,00:04:06.7,737th,00:02:49.5,714th=,00:03:11.4,830th,00:03:08.9,757th=
656th,944,Daniel Whittaker,Dan Whittaker,Enduro | Master Male,00:27:11.2,+7:45.40, ,00:06:10.3,885th,00:04:25.8,768th,00:03:52.5,654th,00:03:58.2,652nd,00:02:39.2,447th,00:03:20.9,902nd,00:02:44.2,429th
657th,1176,William Lee,I Feel Sick Racing,Enduro | Master Male,00:27:13.6,+7:47.81, ,00:05:43.2,757th,00:04:27.3,778th,00:04:00.3,721st,00:04:06.0,731st,00:02:49.5,713th,00:03:02.7,682nd,00:03:04.5,720th=
658th,853,Adam Neve, ,Enduro | Master Male,00:27:13.7,+7:47.97, ,00:05:49.2,796th,00:04:22.0,739th,00:03:56.4,691st,00:04:04.5,715th,00:02:54.3,791st,00:03:07.7,794th=,00:02:59.6,674th
659th,87,Emma Knowles,Peddlers,Enduro | Veteran Female,00:27:13.8,+7:48.06, ,00:05:50.0,803rd,00:04:17.7,711th,00:04:00.6,724th,00:04:05.1,723rd,00:02:52.0,756th,00:03:05.5,746th,00:03:02.8,707th
660th,453,Tim Kirk,Fen Boys,Enduro | Master Male,00:27:14.9,+7:49.17, ,00:07:23.6,977th,00:03:43.8,329th=,00:04:14.4,805th,00:03:43.4,448th,00:02:36.5,362nd,00:02:50.5,376th=,00:02:42.8,402nd
661st,1039,Alastair Dann,pmbr,Enduro | Senior Male,00:27:18.0,+7:52.18, ,00:05:24.5,607th,00:04:23.2,746th,00:03:49.3,612th,00:04:08.3,757th,00:03:00.4,859th,00:03:14.1,856th,00:03:18.1,821st=
662nd,854,Nick Jaques, ,Enduro | Senior Male,00:27:18.0,+7:52.18, ,00:05:44.0,763rd=,00:04:21.5,735th,00:03:49.7,619th,00:04:03.2,703rd,00:02:52.6,762nd,00:03:05.3,739th,00:03:21.7,837th=
663rd,197,Kevin Boone, ,Enduro | Master Male,00:27:18.8,+7:53.00, ,00:05:39.7,733rd,00:04:25.1,763rd,00:04:07.2,767th,00:03:57.9,647th=,00:03:03.3,884th,00:02:59.7,633rd,00:03:05.8,734th
664th,1044,James Cooper,Franks head,Enduro | Master Male,00:27:20.0,+7:54.20, ,00:05:38.7,720th,00:04:17.5,708th,00:04:09.6,780th,00:04:14.9,800th,00:02:49.9,722nd,00:03:04.8,727th,00:03:04.5,719th
665th,477,James Foster,Gears & Beers,Enduro | Master Male,00:27:20.4,+7:54.67, ,00:05:50.6,809th,00:04:40.0,844th,00:03:59.0,708th,00:04:05.7,727th,00:02:49.5,711th,00:02:59.2,625th,00:02:56.4,627th
666th,239,Scott Tomblin,Army Enduro MTB Team,Enduro | Veteran Male,00:27:20.9,+7:55.12, ,00:05:39.2,726th,00:04:12.1,654th,00:04:08.0,771st,00:04:05.9,728th,00:02:53.2,776th,00:03:15.5,869th,00:03:07.0,743rd
667th,1052,Eddie Lord,Stage 1 Cycles Hawes,Enduro | Master Male,00:27:21.4,+7:55.67, ,00:05:25.8,625th,00:04:27.8,780th,00:04:15.8,810th=,00:04:08.0,752nd=,00:02:49.4,710th,00:03:05.9,751st,00:03:08.7,755th
668th,152,Dewi Jones,Tred-shop,Enduro | Veteran Male,00:27:22.2,+7:56.41, ,00:05:32.6,681st,00:04:24.4,760th,00:03:53.0,655th,00:04:05.0,721st,00:02:59.4,848th,00:03:14.9,863rd,00:03:12.8,792nd=
669th,586,Olly Bullock,Let's go ride bikes,Enduro | Senior Male,00:27:25.2,+7:59.44, ,00:05:43.5,760th,00:04:25.8,769th,00:03:59.3,710th=,00:04:08.4,761st,00:02:53.0,773rd,00:03:05.3,741st,00:03:09.8,760th
670th,789,Sam Petherbridge,POWER,Enduro | Senior Male,00:27:25.3,+7:59.53, ,00:05:50.6,806th,00:04:12.5,657th,00:03:50.6,633rd,00:04:04.2,713th,00:02:56.3,819th,00:03:12.8,844th,00:03:18.3,823rd
671st,627,Mark Hancox,Malvern Cook Sport,Enduro | Senior Male,00:27:27.0,+8:01.21, ,00:05:28.7,655th,00:04:55.5,893rd,00:03:58.7,703rd,00:03:56.3,629th,00:02:54.8,796th,00:02:56.7,556th=,00:03:16.4,812th
672nd,716,Jonny Bradshaw,MTB CLUB,Enduro | Senior Male,00:27:27.0,+8:01.22, ,00:05:18.9,547th=,00:04:00.4,537th,00:04:12.6,797th,00:04:08.1,754th,00:04:07.2,972nd,00:02:51.5,406th=,00:02:48.3,500th
673rd,761,Rob Foreman,Old guys rule,Enduro | Veteran Male,00:27:27.0,+8:01.24, ,00:05:48.2,786th,00:04:34.3,814th,00:04:02.5,738th,00:04:04.6,717th,00:02:52.5,760th,00:03:03.2,693rd=,00:03:01.6,696th
674th,253,Richard Bates,AVMB,Enduro | Veteran Male,00:27:27.9,+8:02.11, ,00:06:18.4,901st,00:04:27.0,775th=,00:03:58.6,702nd,00:04:05.1,722nd,00:02:42.3,537th,00:02:55.6,529th,00:03:00.9,686th
675th,653,Matthew Bromillow,Marsden MTB,Enduro | Veteran Male,00:27:28.0,+8:02.21, ,00:06:53.0,959th,00:04:04.9,581st=,00:03:42.1,519th,00:03:47.8,525th,00:02:47.4,657th,00:03:02.2,674th,00:03:10.5,767th
676th,846,Calum Wardlaw,SAMM,Enduro | Master Male,00:27:28.4,+8:02.62, ,00:05:09.5,445th,00:03:55.0,470th,00:03:29.0,293rd,00:03:49.9,557th,00:02:48.9,689th=,00:02:53.7,482nd,00:05:22.4,948th
677th,898,Joe Mann,Stamford Squealers,Enduro | Master Male,00:27:29.1,+8:03.32, ,00:05:54.1,828th,00:04:42.1,857th,00:04:03.0,741st,00:04:06.0,732nd,00:02:48.3,674th=,00:03:04.9,729th,00:02:50.7,543rd
678th,593,Jason Bradley,Leyburn Bikes,Enduro | Veteran Male,00:27:29.5,+8:03.71, ,00:05:35.8,703rd,00:04:34.2,813th,00:03:56.3,687th,00:04:08.8,763rd,00:02:52.9,767th,00:03:10.9,828th,00:03:10.4,765th
679th,721,Rachael Crellin,This is Sheffield,Enduro | Master Female,00:27:31.9,+8:06.12, ,00:05:36.1,704th,00:04:26.8,774th,00:03:58.9,707th,00:04:11.3,779th,00:02:56.2,817th,00:03:16.9,881st,00:03:05.6,732nd
680th,838,Scott Mcdonald,Samm,Enduro | Veteran Male,00:27:32.0,+8:06.18, ,00:05:43.1,755th,00:04:23.7,753rd,00:04:06.4,761st,00:04:09.5,768th=,00:02:53.5,780th,00:03:12.8,845th,00:03:03.0,709th
681st,373,Richard Tilley,RNLI,Enduro | Veteran Male,00:27:32.0,+8:06.26, ,00:05:28.8,656th,00:04:15.4,687th=,00:04:22.5,843rd,00:04:46.8,903rd,00:02:45.0,620th=,00:02:57.8,597th,00:02:55.7,619th
682nd,1038,John Hutchens,strakka15,Enduro | Grand Vet Male,00:27:32.7,+8:06.94, ,00:05:29.5,661st,00:04:17.3,704th,00:03:42.7,531st,00:03:53.0,596th=,00:02:42.3,535th,00:04:31.1,966th,00:02:56.9,634th
683rd,866,Tom Elliott,Shitans,Enduro | Master Male,00:27:33.0,+8:07.23, ,00:05:55.9,838th,00:04:30.5,795th,00:04:02.4,736th,00:04:07.9,748th,00:02:51.5,744th,00:03:06.1,755th,00:02:58.8,663rd
684th,596,Christopher Lambe,Leyburn Bikes,Enduro | Veteran Male,00:27:33.3,+8:07.51, ,00:05:47.1,779th,00:04:40.8,851st,00:04:01.0,726th,00:04:03.4,704th,00:02:53.1,774th,00:03:02.4,679th,00:03:05.4,730th
685th,888,Simon Davey,Beg Tets,Enduro | Veteran Male,00:27:33.4,+8:07.65, ,00:05:46.1,774th,00:04:30.3,794th,00:04:02.9,739th,00:04:02.6,698th=,00:02:56.9,825th,00:03:05.2,735th,00:03:09.5,759th
686th,479,Gary Thorner,Gears & Beers,Enduro | Master Male,00:27:34.3,+8:08.48, ,00:05:44.3,765th,00:04:18.0,714th,00:03:59.0,709th,00:04:11.7,783rd,00:02:54.8,797th,00:03:12.6,841st,00:03:13.8,801st=
687th,546,Paul Nelson,Joe joes cowboys,Enduro | Grand Vet Male,00:27:34.3,+8:08.50, ,00:05:49.5,797th,00:04:40.0,845th,00:04:02.0,733rd,00:03:59.8,671st=,00:02:55.1,801st,00:03:02.0,671st,00:03:05.9,735th
688th,691,Tim Simpson,MMB,Enduro | Master Male,00:27:34.6,+8:08.81, ,00:04:41.4,133rd,00:03:32.7,196th,00:08:15.4,966th,00:03:26.2,176th,00:02:28.9,147th,00:02:40.5,125th=,00:02:29.6,158th
689th,90,John Schofield,TNR,Enduro | Veteran Male,00:27:34.9,+8:09.18, ,00:05:40.8,744th,00:04:35.2,819th,00:04:07.4,768th,00:04:06.3,733rd,00:02:59.5,851st,00:03:10.3,818th,00:02:55.5,614th
690th,158,Mark Parry,Walton Street Cycles,Enduro | Master Male,00:27:35.7,+8:09.96, ,00:05:44.8,767th,00:04:27.0,777th,00:04:11.4,791st,00:04:08.0,752nd=,00:02:49.8,720th,00:03:06.3,763rd=,00:03:08.4,753rd=
691st,320,Tom Foreman,Bogtrotters,Enduro | Veteran Male,00:27:37.2,+8:11.44, ,00:05:48.7,792nd,00:04:23.4,748th,00:04:03.9,747th,00:04:04.8,719th,00:02:55.5,806th=,00:03:13.8,852nd,00:03:07.1,744th
692nd,702,Samantha Dainty, ,Enduro | Master Female,00:27:37.7,+8:11.96, ,00:05:42.5,752nd,00:04:25.1,762nd,00:04:09.4,778th,00:04:07.1,741st=,00:02:58.4,838th,00:03:11.4,831st,00:03:03.9,713th
693rd,25,David Elo, ,Enduro | Veteran Male,00:27:38.0,+8:12.20, ,00:05:43.0,754th,00:04:22.4,743rd,00:04:03.0,742nd,00:04:07.6,746th,00:02:54.4,793rd,00:03:10.4,819th=,00:03:17.0,815th
694th,725,Mick Cowling,This is Sheffield,Enduro | Veteran Male,00:27:38.7,+8:12.92, ,00:05:49.9,800th,00:04:47.0,872nd,00:04:11.0,787th,00:04:06.4,735th,00:02:43.5,575th,00:03:04.9,730th=,00:02:55.9,621st
695th,889,Stuart Mellanby,Beg Tets,Enduro | Veteran Male,00:27:39.2,+8:13.39, ,00:05:49.1,795th,00:04:38.2,833rd,00:03:54.0,665th,00:04:05.4,724th,00:02:54.4,792nd,00:03:05.2,736th,00:03:12.8,792nd=
696th,378,Dean Bryson,Dalbeattie Hairy Bikers,Enduro | Senior Male,00:27:39.4,+8:13.61, ,00:05:36.8,707th,00:04:24.1,759th,00:04:11.1,788th,00:04:04.7,718th,00:03:14.7,936th,00:02:57.1,575th,00:03:10.7,770th
697th,400,Gavin Williams,Ardly Able,Enduro | Veteran Male,00:27:39.8,+8:14.08, ,00:05:45.9,771st,00:04:32.8,810th,00:04:12.2,796th,00:04:08.3,756th,00:02:51.0,732nd,00:03:01.3,666th,00:03:08.4,753rd=
698th,1138,Matthew Bazzard, ,Enduro | Master Male,00:27:40.2,+8:14.39, ,00:05:46.7,776th,00:04:24.0,755th,00:04:07.5,769th,00:04:07.4,745th,00:02:54.4,794th,00:03:08.5,804th,00:03:11.6,782nd
699th,513,Iain Banks,Hadleigh MTB Club Enduro Team,Enduro | Grand Vet Male,00:27:40.6,+8:14.87, ,00:05:38.2,717th,00:04:32.7,809th,00:04:05.9,755th,00:04:19.5,830th,00:02:56.0,813th,00:03:07.5,789th,00:03:00.8,684th=
700th,85,Richard Stevenson,Bike Scene,Enduro | Veteran Male,00:27:41.5,+8:15.74, ,00:05:41.3,746th,00:04:10.3,636th,00:04:24.4,851st,00:04:09.9,774th,00:02:59.7,854th,00:03:14.1,854th,00:03:01.8,698th
701st,670,Josh Hyde,Midlands Machines,Enduro | Hardtail Male,00:27:42.7,+8:16.95,H,00:05:43.3,759th,00:04:15.8,692nd,00:04:10.1,783rd,00:04:26.6,856th,00:02:55.2,802nd,00:02:59.7,634th,00:03:11.9,785th
702nd,123,Geoff Needham,Saga Uplifts,Enduro | Grand Vet Male,00:27:43.1,+8:17.38, ,00:05:29.1,657th,00:04:29.7,791st,00:03:48.0,598th,00:04:31.6,870th,00:02:55.9,812th,00:03:28.1,928th,00:03:00.7,682nd
703rd,780,Simon Carter,Yeah Boi,Enduro | Master Male,00:27:43.6,+8:17.87, ,00:09:00.5,1000th,00:03:46.7,366th,00:03:31.3,338th,00:03:26.6,189th,00:02:33.9,275th,00:02:46.5,261st,00:02:38.1,295th=
704th,1012,Andi Crellin,Weekend Warriors,Enduro | Grand Vet Male,00:27:43.9,+8:18.10, ,00:05:43.7,762nd,00:04:38.1,831st,00:04:02.2,734th,00:04:09.3,766th,00:02:46.9,648th,00:03:07.4,787th=,00:03:16.2,811th
705th,504,Jay Gleave,Twelve50 Bikes,Enduro | Veteran Male,00:27:43.9,+8:18.16, ,00:05:39.5,731st,00:04:32.2,805th,00:04:09.1,777th,00:04:08.4,759th,00:02:55.6,808th,00:03:07.9,796th,00:03:11.3,778th
706th,340,Wayne Hinds,WWW,Enduro | Veteran Male,00:27:44.3,+8:18.51, ,00:06:26.1,918th,00:04:46.1,869th,00:03:48.1,599th,00:04:23.5,842nd,00:02:42.4,541st,00:02:52.0,426th,00:02:46.0,465th
707th,69,Paul Snape,Velosport,Enduro | Grand Vet Male,00:27:45.4,+8:19.66, ,00:05:46.7,777th,00:04:32.0,803rd,00:04:01.1,727th,00:04:15.7,806th,00:02:54.9,798th,00:03:06.2,758th=,00:03:08.8,756th
708th,830,Laszlo Molnar,Beauty & The Beasts,Enduro | Master Male,00:27:46.2,+8:20.43, ,00:05:34.2,689th,00:04:20.3,730th=,00:04:07.1,766th,00:04:22.3,839th,00:03:03.2,882nd,00:03:12.2,838th,00:03:06.9,740th
709th,42,Andrew Woodall, ,Enduro | Master Male,00:27:46.7,+8:20.93, ,00:05:39.4,730th,00:04:37.1,827th,00:04:21.7,839th,00:04:11.7,782nd,00:02:53.4,778th,00:03:05.1,734th,00:02:58.4,657th
710th,404,Seb Drew,Dyson Cycles,Enduro | Master Male,00:27:47.0,+8:21.23, ,00:05:40.2,735th=,00:04:39.0,838th,00:04:44.4,897th,00:03:56.6,631st,00:02:45.7,628th,00:02:56.4,547th,00:03:04.8,726th
711th,704,Geoff Young,Beamish Oddsox,Enduro | Grand Vet Male,00:27:47.3,+8:21.51, ,00:05:59.3,847th,00:04:23.7,754th,00:04:02.5,737th,00:04:07.2,743rd,00:02:54.6,795th,00:03:11.8,836th,00:03:08.2,751st
712th,470,Tom Middleton,Fulford Cycles,Enduro | Master Male,00:27:47.8,+8:22.02, ,00:05:32.7,683rd,00:04:24.9,761st,00:03:59.6,713th,00:04:14.2,798th,00:03:00.7,863rd,00:03:18.5,885th=,00:03:17.2,817th
713th,1146,Nick Bellew,Stif,Enduro | Master Male,00:27:50.8,+8:25.03, ,00:08:53.8,999th,00:04:01.1,550th,00:03:29.2,297th=,00:03:26.5,185th,00:02:36.1,349th,00:02:50.2,369th,00:02:33.9,230th=
714th,573,Simon Gowing,Team Lard,Enduro | Master Male,00:27:50.9,+8:25.13, ,00:05:42.6,753rd,00:04:12.9,663rd,00:04:58.8,916th,00:04:11.7,784th,00:02:53.0,770th,00:02:57.5,585th,00:02:54.4,590th
715th,1154,Sarah Gamsjaeger,MBUK,Enduro | Senior Female,00:27:51.1,+8:25.37, ,00:05:13.0,481st,00:04:07.5,616th,00:06:59.9,959th,00:03:35.9,311th,00:02:30.1,179th,00:02:44.4,203rd,00:02:40.4,348th
716th,793,Graeme Garret,POWER,Enduro | Master Male,00:27:51.1,+8:25.37, ,00:06:27.8,924th,00:04:20.3,730th=,00:03:53.5,660th,00:04:02.4,697th,00:02:48.8,687th,00:03:11.7,835th,00:03:06.6,737th
717th,1166,Peter Dennis, ,Enduro | Veteran Male,00:27:52.1,+8:26.33, ,00:06:36.2,942nd,00:04:06.7,602nd,00:04:06.1,759th,00:04:06.3,734th,00:02:50.5,729th,00:03:04.2,712th,00:03:02.0,699th
718th,794,Chris Hallet,POWER,Enduro | Master Male,00:27:54.9,+8:29.10, ,00:05:39.1,725th,00:04:29.8,793rd,00:04:00.4,722nd,00:04:14.5,799th,00:02:57.3,830th,00:03:14.6,858th,00:03:19.1,828th
719th,1064,Janet Clarke,Bigfoot MBC,Enduro | Veteran Female,00:27:56.4,+8:30.63, ,00:05:53.2,821st,00:04:24.1,756th,00:04:09.4,779th,00:04:07.0,740th,00:02:59.9,856th,00:03:09.9,816th,00:03:12.9,796th
720th,542,Stephen Aldridge,Team id10t,Enduro | Veteran Male,00:27:57.0,+8:31.21, ,00:05:37.3,709th,00:04:22.6,744th,00:04:17.5,823rd=,00:04:12.5,788th,00:02:55.0,799th,00:03:10.9,827th,00:03:21.3,835th
721st,750,Ben Stott,Northern Metal,Enduro | Master Male,00:27:59.2,+8:33.44, ,00:05:39.7,732nd,00:04:23.6,752nd,00:04:17.4,821st,00:04:26.0,855th,00:02:55.1,800th,00:03:04.8,726th,00:03:12.7,791st
722nd,200,Josh Thompson, ,Enduro | Master Male,00:28:00.8,+8:35.06, ,00:06:18.9,902nd,00:04:29.7,792nd,00:04:05.9,756th,00:04:08.9,765th,00:02:48.6,682nd,00:03:07.3,784th,00:03:01.4,693rd
723rd,700,Nicola Young,Beamish Oddsox,Enduro | Master Female,00:28:02.3,+8:36.52, ,00:06:05.6,867th,00:04:38.2,832nd,00:04:00.0,716th,00:04:09.4,767th,00:02:52.8,765th,00:03:17.1,883rd,00:02:59.2,667th
724th,799,Ally Macpherson,Porksword racing,Enduro | Master Male,00:28:02.6,+8:36.82, ,00:06:32.3,936th,00:04:56.1,895th,00:03:46.1,574th,00:03:53.0,596th=,00:02:51.7,749th,00:03:07.9,797th,00:02:55.5,613th
725th,849,Kenny Falconer,SAMM,Enduro | Veteran Male,00:28:03.6,+8:37.82, ,00:05:39.3,727th,00:04:19.3,724th,00:05:05.3,923rd,00:04:05.9,729th,00:02:49.3,703rd=,00:03:07.1,779th,00:02:57.4,641st
726th,353,Nigel Madigan, ,Enduro | Grand Vet Male,00:28:04.1,+8:38.33, ,00:05:55.4,835th,00:04:43.7,862nd,00:04:15.8,809th,00:04:02.6,698th=,00:02:59.2,847th,00:03:08.8,806th,00:02:58.7,662nd
727th,315,Darren Turner,Blazing Saddles,Enduro | Veteran Male,00:28:05.0,+8:39.25, ,00:05:57.0,844th,00:04:28.6,787th,00:04:17.0,819th,00:04:11.1,777th,00:03:03.2,881st,00:03:10.2,817th,00:02:58.0,651st
728th,763,Paraig Gillane,olipar,Enduro | Veteran Male,00:28:05.6,+8:39.78, ,00:05:52.6,816th,00:04:40.6,850th,00:04:08.3,773rd,00:04:11.4,780th,00:03:03.4,886th,00:03:06.7,771st,00:03:02.5,703rd
729th,536,Dave Lloyd,Revolution Sports Physio,Enduro | Master Male,00:28:05.6,+8:39.78, ,00:06:25.2,915th,00:04:27.0,775th=,00:03:50.2,629th,00:04:11.6,781st,00:02:52.9,768th,00:03:06.9,775th,00:03:11.7,784th
730th,634,Giles Morris,Manx Ard Rockers,Enduro | Grand Vet Male,00:28:06.5,+8:40.68, ,00:05:53.2,819th,00:04:15.5,690th,00:04:21.7,840th,00:04:09.5,768th=,00:02:57.0,827th,00:03:01.2,663rd=,00:03:28.2,854th
731st,452,Peter Etherington,Fen Boys,Enduro | Master Male,00:28:08.3,+8:42.50, ,00:08:01.0,988th,00:03:50.5,414th,00:03:43.0,538th,00:03:37.5,337th,00:02:34.4,290th=,00:02:48.7,321st,00:03:33.2,867th
732nd,183,Sally Allsop, ,Enduro | Senior Female,00:28:08.9,+8:43.18, ,00:06:20.9,907th,00:04:36.7,825th,00:03:56.3,684th=,00:04:04.3,714th,00:02:58.4,839th,00:03:13.7,850th,00:02:58.6,660th
733rd,177,David Bicknell,The Wheelbarrows,Enduro | Master Male,00:28:09.5,+8:43.74, ,00:06:01.6,854th,00:04:39.5,841st=,00:04:12.9,801st,00:04:14.1,795th,00:02:49.1,693rd,00:03:01.2,661st,00:03:11.1,777th
734th,959,James Pack,The Berkshire Hunts,Enduro | Senior Male,00:28:10.0,+8:44.18, ,00:05:48.6,791st,00:04:32.8,811th,00:04:11.7,793rd,00:04:15.3,801st,00:02:50.6,731st,00:03:05.0,733rd,00:03:25.8,850th
735th,839,James Mcmeechan,SAMM,Enduro | Master Male,00:28:13.2,+8:47.40, ,00:05:11.8,476th,00:03:55.0,471st=,00:04:03.1,743rd,00:06:12.0,948th,00:02:42.9,556th,00:02:56.9,565th,00:03:11.5,779th
